,txt,label
0,"จัดการจราจรแย่มาก ไม่คำนึงถึงพื้นที่รอบโรงเรียน ทำรถติด แทนที่จะจัดรถเข้า
ทางออกทาง ให้เข้าออกปะปนกันไปหมด",0
1,"ฝากถึงท่าน​ ผอ.​ที่กล่าวในการประขุม​ ผปค. ม6 เข้านี้นะคะ​ เรื่องการปรับปรุง​ 
รร​ ให้ทันสมัย​ เช่น​ การเปลี่ยนโปรเจคเตอร์ในหอประชุมใหญ่เป็น​จอ led​ ",0
2,คลิปวันวันต่อต้านยาเสพติดโลกเสียงเบาและขาดๆหายๆค่ะ มีกระตุกๆด้วย,0
3,"ขอความกรุณาผู้ปกครองอย่า start รถ ระหว่างรอเลยนะครับ มลพิษสูงมาก 
สงสารเด็ก ( ลองวัด pm2.5 ดูได้ประมาณ119 )",0
4,เห็นยอดแล้วปวดหัวรอเลยค่ะ ไม่ไหวๆ,0
5,น่าจะมีที่ฉีดดากในห้องน้ำได้แล้วครับครู ลำบากมาก ,0
6,กฎระเบียบไม่ดี เเถมยังตีเด็กอีก,0
7,ตอนเช้าๆรถติดสุดๆ พิจารณาด้วยครับ,0
8,ตรงประตูระวังเชือกผูกรองเท้าด้วยนะคะ อันตราย,0
9,ช่วงเวลาเย็นๆรถติดมาก ไม่เห็นคิดจะออกมาจัดการเลย ควรคิดได้แล้วนะครับ,0
10,ผึ้งจะเปิดเรียนจะไห้จ่ายค่าเทอมเลย ควรนึกถึงพ่อกับแม่บ้างนะให้ตายเถอะ,0
11,"คนที่ไม่ได้ฉีดก็เรียนอยู่บ้านไปดิในเมื่อเลือกที่จะไม่ฉีดอ่ะ นักเรียนที่ฉีดมี 70% 
คนที่ไม่ฉีดมี 30% ทำไมต้องลากคนส่วนใหญ่ไปลำบากด้วยในเมื่อเลือกที่จะไม่ฉีด",0
12,ถามไปก็ไม่เคยมาอ่านหรือตอบ แย่มาก,0
13,"สมัครให้ลูกเรียนห้องพิเศษ แอร์ 10800บาท แต่เรียนออนไลน์ 
แล้วไม่มีช่วยเราบ้างเลย .....เสียความรู้สึกมากๆๆ",0
14,ควรคืนค่าเทอมห้อง EP เพราะว่าไม่ได้เรียนที่โรงเรียน เรียนที่บ้านทั้งเทอมเลย,0
15,"ไม่ลดก็ช่วยค่าเน็ต+ค่าไฟที่ใช้ในการเรียนด้วยจ้าช่วงนี้โควิดระบาดทางผู้ปกครอง
ก็ลำบากเหมือนกันเห็นใจบ้าง",0
16,เป็นการช่วยเหลือที่เล็กน้อยมาก ห่วยที่สุด,0
