txt,label
"['จราจร', 'แย่', 'คำนึง', 'พื้นที่', 'รอบ', 'โรง', 'เรียน', 'ทำ', 'รถ', 'ติด', 'แทน', 'รถ', 'ปะปน']",0.0

"['คลิป', 'ต่อต้าน', 'ยา', 'เสพ', 'ติด', 'โลก', 'เสียง', 'เบา', 'หาย', 'กระตุก']",0.0

"['ยอด', 'ปวด', 'หัว', 'รอ', 'ไหว']",0.0

"['กฎระเบียบ', 'ดี', 'แถม', 'ตี', 'เด็ก']",0.0

"['ประตู', 'ระวัง', 'เชือก', 'ผูก', 'รองเท้า', 'อันตราย']",0.0

"['ผึ้ง', 'เรียน', 'ไห้', 'จ่าย', 'เทอม', 'นึก', 'พ่อ', 'แม่', 'ตาย']",0.0

"['ถาม', 'อ่าน', 'ตอบ', 'แย่']",0.0

"['คืน', 'เทอม', 'ห้อง', 'EP', 'เรียน', 'โรง', 'เรียน', 'เรียน', 'บ้าน', 'เทอม']",0.0

"['ช่วยเหลือ', 'ห่วย']",0.0

"['ห้องน้ำ', 'ทิชชู่', 'เด็ก', 'ผญ', 'เรื่อง', 'สะอาด', 'เด็ก', 'คน', 'ห้องน้ำ', 'สกปรก', 'กล้า', 'ห้องน้ำ', 'อั้น', 'ดี']",0.0

"['เด็ก', 'เรียน', 'หญิง', 'คู่', '20', 'บาท', '23', 'หลุด', 'ซื้อ', 'แย่', 'เหมือน', 'พิจารณา']",0.0

"['เด็ก', 'เรียน', 'หญิง', 'คู่', '20', 'บาท', '23', 'หลุด', 'ซื้อ', 'แย่', 'เหมือน', 'พิจารณา']",0.0

"['เรียน', 'ปกติ', 'ระดับ', 'ชั้น', 'โรง', 'เรียน', 'ปกครอง', 'รถ', 'โรง', 'เรียน', 'เด็ก', 'แย่', 'สำหรับ', 'ปกครอง', 'คน', 'รบกวน', 'รร', 'ลอง', 'ลงมา', 'ดู', 'ลาน', 'จอด', 'รถ', 'ตอน', 'เช้า', 'ตอน', 'เย็น', 'รถ', 'ติด']",0.0

"['จอด', 'รถ', 'พิจารณา', 'เรื่อง', 'จอด', 'รถ', 'เต็ม', 'รูปแบบ', 'รถ', 'ติด']",0.0

"['จอด', 'รถ', 'พิจารณา', 'เรื่อง', 'จอด', 'รถ', 'เต็ม', 'รูปแบบ', 'รถ', 'ติด']",0.0

"['เรื่อง', 'รถ', 'เรียน', 'เด็ก', 'เรียน', 'คน', 'โรง', 'เรียน', 'เช้า', 'รถ', 'เรียน', 'แน่น', 'นั่ง', 'ลูกหลาน', 'นั่ง', 'ไช่', 'นั่ง', 'เด็ก', 'รถ', '20', 'คน', 'คิดเห็น', 'ตอน', 'เช้า', 'สาย', 'เด็ก', 'หน้า', 'รถ', '2', 'คัน', 'เงิน', 'นั่ง', 'ไช่', 'นั่ง', 'แน่น', 'สังเกตุ', 'อาทิศ', 'ขอบคุณ', 'หวัง', 'กรุณา', 'พิจารณา']",0.0

"['เรื่อง', 'รถ', 'เรียน', 'เด็ก', 'เรียน', 'คน', 'โรง', 'เรียน', 'เช้า', 'รถ', 'เรียน', 'แน่น', 'นั่ง', 'ลูกหลาน', 'นั่ง', 'ไช่', 'นั่ง', 'เด็ก', 'รถ', '20', 'คน', 'คิดเห็น', 'ตอน', 'เช้า', 'สาย', 'เด็ก', 'หน้า', 'รถ', '2', 'คัน', 'เงิน', 'นั่ง', 'ไช่', 'นั่ง', 'แน่น', 'สังเกตุ', 'อาทิศ', 'ขอบคุณ', 'หวัง', 'กรุณา', 'พิจารณา']",0.0

"['รรคืน', 'เงิน', 'คน', 'บ่น', 'ลูก', 'ชาย', 'คน', 'เรียน', 'โครงการ', 'พิเศษ', 'รร', 'รัฐบาล', 'เทอม', 'สอง', 'หมื่น', 'คืน', 'เงิน', '1380', 'ผปค', 'โพสบ่น', 'เพจรร', 'รร', 'เอกชน', 'ขนาด', 'ปกติ', 'ยังคืน', 'รรรัฐบาล', 'คน', 'บ่น']",0.0

"['จัดสรร', 'เรื่อง', 'จอด', 'รถ', 'รูปแบบ', 'ชัดเจน', 'ตอน', 'เลิก', 'เรียน', 'ลำบาก', 'จอด', 'วน', 'ลูก', 'รอ', 'คน', 'สุดท้าย', 'ห้อง', 'เกรงใจ', 'คุณครู', 'รอ', 'คน']",0.0

"['เวลา', 'การเรียนการสอน', 'เร่งรัด', 'เรื่อง', 'เรียน', 'รู้', 'ตัด', 'ระบบ', 'ปัจุบัน', 'ทำ', 'งาน', 'งาน']",0.0

"['กระตุก', 'กระตุก', 'นิ่ง', 'โรง', 'เรียน', 'พิจารณา', 'เรื่อง', 'bandwidth', 'เรียน', 'พัน', 'คน', 'ระบบ', 'ไฟล์', 'เอกสาร', 'vdo', 'offline', 'ลูก', 'เรียน', 'ดี', 'แย่']",0.0

"['กระตุก', 'กระตุก', 'นิ่ง', 'โรง', 'เรียน', 'พิจารณา', 'เรื่อง', 'bandwidth', 'เรียน', 'พัน', 'คน', 'ระบบ', 'ไฟล์', 'เอกสาร', 'vdo', 'offline', 'ลูก', 'เรียน', 'ดี', 'แย่']",0.0

