txt,label


"['ทราบ', 'ตาราง', 'เรียที่', 'เรียน', 'ออนไลน์', '17', 'ดู']",1
"['ตา', 'ราง', 'เรียน', 'ป6']",1
"['เรียน', 'ทักษะ', 'ว่าย', 'เด็ก', 'สอน', 'ไหม']",5
"['ทักษะ', 'ว่าย', 'สอน', 'เด็ก', 'มต้น']",5
"['โรง', 'เรียน', 'สมัคร', 'เข้', 'ป', '1', 'รอบ', '2']",4
"['ปี', 'สมัคร', 'น้อง', '2', 'ขวบ', 'ปี', 'หน้า', 'สมัคร', 'น้อง', '3', 'ขวบ', 'รร', 'ยุ', 'ไหม', 'รายละเอียด']",4
"['สมัคร', 'ภาษา', 'อังกฤษ', 'ราคา', 'ไหร่']",1
"['ชื่อ', 'เฟส', 'ไหร่', 'ทน']",5
['เรียน'],1
"['ป4', 'ไหม']",4
"['ห้อง', 'ปกติ', 'สมัคร']",4
"['รบกวน', 'สอบถาม', 'ผปค', 'คน', 'เรียน', 'ไหม']",0
"['สอบถาม', 'กรณี', 'ปกครอง', 'ติด', 'ธุระ', 'ไหม']",0
"['ม', '4', 'แผน', 'ไหม']",4
"['ม', '4', 'ไหม']",4
"['ย้าย', 'เรียน', 'ตอ', 'น', 'ม', '5', 'ไหม', 'เอกสาร']",4
"['กังวล', 'เรื่อง', 'พ่น', 'ยา', 'อ่ะ', 'สาร', 'เคมี', 'ตกค้าง', 'โต๊ะ', 'เด็ก', 'เช็ด', 'ทำ', 'สะอาด', 'กลัว', 'เด็ก', 'โต๊ะ', 'มือ', 'ปาก']",2
"['เรียน', 'เต็ม', 'รูปแบบ', 'ศุกร์', 'สิ้นสุด', 'ศึกษา', 'สอบ', 'ปลาย']",1
"['เมนู', 'อาหาร', 'ปกติ', 'ภาคep', 'กิน', 'เหมือน', 'แยก', 'ราคา', 'เทอม', 'epแพง', 'ธรรมดา']",2
"['สำหรับ', 'เด็ก', 'ประถม', 'ทาน', 'เผ็ด', 'ทำ', 'เมนู', 'ทาน', 'โรง', 'เรียน', 'เหรอคะ']",2
"['ม', '1', 'ตอน', 'แจ้ง', '8', 'หยุด', 'สอบ', '9', '8', 'รร', 'สอบ', '9', 'เหรอ']",1
"['สลับ', 'จอด', 'รถ', 'ฝั่ง', 'สนาม', 'กอล์ฟ', 'ไหม', 'เวลา', 'รถ', 'จอด', 'ทำ', 'รถ', 'จอด']",2
"['ประตู', '4', 'รูป', 'รถ', 'วิ่ง', 'ลาน', 'จอด', 'ย้ำ', 'รถ', 'วิ่ง', 'ห้าม', 'จอด', 'รถ', 'แบ่ง', 'เบา', 'จราจร', 'ซอย', 'ถนน', 'เลี่ยง', 'เมือง', 'รร', 'เวลา', '40', 'นาที']",2
"['สอบถาม', 'น้องย้าย', 'ตจว', 'เรียน', 'ไหม', 'พ่อ', 'น้อง', 'ย้าย', 'ตำแหน่ง', 'กทม', 'น้อง', 'พี่เรียน', '2', 'คน', 'ม', '2', 'ป', '3']",4
"['พี่', 'ชาย', 'เรียน', 'รรร', 'น้อง', 'เรียน', 'ปกครอง', 'ลำบาก', 'วิธี']",2
