txt,label

"['จราจร', 'แย่', 'คำนึง', 'พื้นที่', 'รอบ', 'โรง', 'เรียน', 'ทำ', 'รถ', 'ติด', 'แทน', 'รถ', 'ปะปน']",0
"['ฝาก', 'ท่าน', 'ผอที่', 'ประขุม', 'ผปค', 'ม', '6', 'เรื่อง', 'ปรับปรุง', 'รร', 'โปรเจคเตอร์', 'หอ', 'ประชุม', 'จอ', 'led']",0
"['คลิป', 'ต่อต้าน', 'ยา', 'เสพ', 'ติด', 'โลก', 'เสียง', 'เบา', 'หาย', 'กระตุก']",0
"['กรุณา', 'ปกครอง', 'อย่า', 'start', 'รถ', 'รอ', 'มลพิษ', 'สงสาร', 'เด็ก', 'ลอง', 'วัด', 'pm', '25', 'ดู', '119']",0
"['ยอด', 'ปวด', 'หัว', 'รอ', 'ไหว']",0
"['ฉีด', 'ดาก', 'ห้องน้ำ', 'ครู', 'ลำบาก']",0
"['กฎระเบียบ', 'ดี', 'แถม', 'ตี', 'เด็ก']",0
"['ตอน', 'เช้า', 'รถ', 'ติด', 'พิจารณา']",0
"['ประตู', 'ระวัง', 'เชือก', 'ผูก', 'รองเท้า', 'อันตราย']",0
"['เวลา', 'เย็น', 'รถ', 'ติด']",0
"['ผึ้ง', 'เรียน', 'ไห้', 'จ่าย', 'เทอม', 'นึก', 'พ่อ', 'แม่', 'ตาย']",0
"['คน', 'ฉีด', 'เรียน', 'บ้าน', 'ดิใน', 'เลือก', 'ฉีด', 'อ่ะ', 'เรียน', 'ฉีด', '70', 'คน', 'ฉีด', '30', 'ลาก', 'คน', 'ลำบาก', 'เลือก', 'ฉีด']",0
"['ถาม', 'อ่าน', 'ตอบ', 'แย่']",0
"['สมัคร', 'ลูก', 'เรียน', 'ห้อง', 'พิเศษ', '10800', 'บาท', 'เรียน', 'ออนไลน์', 'รู้สึก']",0
"['คืน', 'เทอม', 'ห้อง', 'ep', 'เรียน', 'โรง', 'เรียน', 'เรียน', 'บ้าน', 'เทอม']",0
"['ลด', 'เน็ต', 'ไฟ', 'เรียน', 'โค', 'วิด', 'ระบาด', 'ปกครอง', 'ลำบาก', 'เหมือน', 'เห็นใจ']",0
"['ช่วยเหลือ', 'ห่วย']",0
"['ห้องน้ำ', 'ทิชชู่', 'เด็ก', 'ผญ', 'เรื่อง', 'สะอาด', 'เด็ก', 'คน', 'ห้องน้ำ', 'สกปรก', 'กล้า', 'ห้องน้ำ', 'อั้น', 'ดี']",0
"['ห้องน้ำ', 'ทิชชู่', 'เด็ก', 'ผญ', 'เรื่อง', 'สะอาด', 'เด็ก', 'คน', 'ห้องน้ำ', 'สกปรก', 'กล้า', 'ห้องน้ำ', 'อั้น', 'ดี']",0
"['ห้องน้ำ', 'ทิชชู่', 'เด็ก', 'ผญ', 'เรื่อง', 'สะอาด', 'เด็ก', 'คน', 'ห้องน้ำ', 'สกปรก', 'กล้า', 'ห้องน้ำ', 'อั้น', 'ดี']",0
"['เด็ก', 'เรียน', 'หญิง', 'คู่', '20', 'บาท', '23', 'หลุด', 'ซื้อ', 'แย่', 'เหมือน', 'พิจารณา']",0
"['เด็ก', 'เรียน', 'หญิง', 'คู่', '20', 'บาท', '23', 'หลุด', 'ซื้อ', 'แย่', 'เหมือน', 'พิจารณา']",0
"['เด็ก', 'เรียน', 'หญิง', 'คู่', '20', 'บาท', '23', 'หลุด', 'ซื้อ', 'แย่', 'เหมือน', 'พิจารณา']",0
