txt,label
ไม่ทราบว่า ตารางเรียที่จะเรียน ออนไลน์ วันที่ 17 นี้ ดูได้จากที่ไหนคะ,1  
ขอตารางเรียน ป.6 หน่อยค่ะ,1
เรียนทักษะว่ายเด็กโตเปิดสอนไหมคะ,5
ทักษะว่ายเปิดสอนกลุ่มเด็กม.ต้นมั้ยครับ,5
ทางโรงเรียนมีเปิดรับสมัครเข้ ป. 1รอบ 2มั้ยคะ,4
"ปีนี้สมัครไม่ทัน น้องพึ่งได้2ขวบกว่า ปีหน้าจะสมัครนะค่ะ น้องจะ3ขวบ
 พอดีและค่ะ ทางร.รน่าจะรับยุใช่ไหมค่ะ ขอรายละเอียดค่ะ",4
ค่าสมัครภาคภาษาอังกฤษราคาเท่าไหร่คะ,1
ชื่อเฟสเมื่อไหร่จะเปลี่ยน ทนใช้อยู่ได้ไง,5
ผลการเรียน จะส่งเมื่อไรครับ,1
ป.4 เปิดรับไหมครับ,4  
ห้องปกติรับสมัครเมื่อไรคะ,4  
รบกวนสอบถามค่ะ ผปค. ไปคนเดียว นักเรียนไม่ต้องไปด้วย ใช่ไหมคะ,0  
สอบถามหน่อยค่ะกรณีผู้ปกครองติดธุระไปไม่ได้เป็นอะไรไหมคะ,0  
ม.4 มีแผนรับเพิ่มไหมค่ะ😊😊,4  
ม.4มีรับเพิ่มเติมไหมค่ะ,4  
ถ้าจะย้ายเข้าไปเรียนตอนม.5ได้ไหมคะ แล้วใช้เอกสารอะไรบ้าง,4  
"กังวลเรื่องการพ่นยาอ่ะค่ะ จะมีสารเคมีตกค้างอยู่บนโต๊ะเด็กๆมั้ยคะ
 นั่น เช็ดทำความสะอาดให้มั้ยคะ กลัวเด็กจับโต๊ะแล้วเอามือเข้าปาก",2  
"เปิดเรียนเต็มรูปแบบ คือเรียน จันทร์ ถึง ศุกร์
 แล้วปรับวันสิ้นสุดภาคการศึกษา และ วันสอบปลายภาค หรือไม่?",1  
"ทำไมเมนูอาหารภาคปกติกับภาคep.. ถึงกินเหมือนกัน...ไม่แยก
 เลยแบบนี้ คุณจะมาคิดราคาค่าเทอม ep..แพงกว่าธรรมดาทำไม...
 เอาอะไรมาคิด",2  
"สำหรับเด็กประถมที่ทานเผ็ดไม่ได้ จะทำอย่างไรคะ เมนูนี้ต้องทาน
 ทั้งโรงเรียนเหรอคะ?",2  
"ม.1 ค่ะ ตอนแรกแจ้งว่าวันที่ 8 หยุด สอบ 9 แล้วถ้าเป็นแบบนี้ 8 
 ไป รร แล้วสอบ 9 เหรอคะ",1  
"ช่วยสลับทางเข้ากับออกที่จอดรถฝั่งสนามกอล์ฟพอจะได้ไหมคะ 
 อย่างน้อยเวลาที่รถเข้าที่จอดก็จะทำให้รถที่ออกจากที่จอดได้
 พร้อมๆกันน่ะคะ",2  
"เปิดประตู 4 (ในรูป) เพื่อให้รถวิ่งผ่านไปลานจอดด้วยได้มั้ยคะ 
 **ย้ำนะคะให้ รถวิ่งผ่าน ห้ามจอดรถ** แบ่งเบาการจราจรใน
 ซอยบ้างนะคะ ทุกวันใช้จากถนนเลี่ยงเมืองไปถึง รร ใช้เวลา
 ไม่น้อยกว่า 40 นาทีทุกวันเลยค่ะ",2
"สอบถามครับ ถ้าน้องย้ายจาก ตจว.มาเข้าเรียนนี้ได้ไหม พอดีพ่อ
 น้องพึ่งย้ายมารับตำแหน่งใหม่ที่ กทม. น้องมีพี่เรียนอยู่ที่นี้ 2 คน 
 ม.2 กับ ป.3 ครับ",4
"พอดีพี่ชายเรียนอยู่ที่รร.ร.นี้ก็เลยอยากให้น้องเขาเรียนด้วยกัน
 เพราะผู้ปกครองลำบากในการรับส่งหลายที่ค่ะ แล้วอย่างนี้พอ
 จะมีวิธีไหนบ้างค่ะ",2
"เห็นทาง รร. แจ้งว่าลดจำนวน นร. ในห้องให้น้อยลงคะ กำลัง
 ตามว่าจะเปิดรับพิเศษไหม",1
"รบกวนสอบถามค่ะ ถ้า ปี2566 ทางโรงเรียนเปิดรับสมัครเด็กภาย
 นอกเข้าเรียนชั้น ป.4 แบบปกติไหมคะ พอดีมีเกณฑ์จะย้ายไปอยู่
 แถวปากเกร็ด-แจ้งวัฒนะช่วงปีนั้นค่ะ",4  
"เปิดรับสมัครอนุบาล1ปี65เดือนธันวาคม64นี้ใช่มัยค่ะ ทราบวันพอ
 แจ้งได้ไหมค่ะจะได้เตรียมเอกสารค่ะ",4  
"ช่วงที่นักเรียนหยุดเรียนโควิด ไม่มีการเรียนการสอน ตั้งแต่วันที่ 
 28 ธ.ค. 63 ถึง 31 ม.ค.64 ทางโรงเรียนจะดำเนินการคืนค่า
 เทอมให้ผู้ปกครองมั๊ยคะ",4  
"จะมีการคืนค่าเทอมไหมคะ เหมือนจำได้ว่าเคยแจ้งไปในคอมเม้น
 ว่าจะมีการคืนค่าเทอมปลายเทอมนี้",4  
"อยากย้ายไปเรียนเทอมหน้าขึ้นมป. 2 มากๆค่ะ ต้องทำอย่างไรคะ 
 เปิดรับสมัครเมื่อไร",4  
"โทร.ไปแล้วไม่มีผู้สายค่ะ ขออนุญาตถามค่ะ ep ป.1 ค่าเทอม
 เท่าไรค่ะ ขอบคุณค่ะ",1  
มีแผนจะให้ผู้ปกครองเอารถเข้าไปส่งในโรงเรียนได้เมื่อไหร่คะ,2  
"สอบถามครับ เปิดเรียนปรกติแล้วการจราจรภายในโรงเรียนปรับ
 อย่างไรครับ",2  
"ทางเข้าออก รร ยังใช้รูปแบบเดิมไม๊ค่ะ ไม่งั้นรถติดขั้นเทพมาก
 ถ้าไม่ปรับปรุง",2  
สอบถามครับ ศิษย์เก่าสามารถเข้าไปภายในโรงเรียนได้มั้ยครับ,3  
ตารางเรียน จะแจกให้ใหม่ หรือ Download ได้วันไหนคะ,1  
"สอบถามเรื่องการสอบ TEDET ถ้ามีเหตุจำเป็นไปสอบไม่ได้มีผล
 อย่างไรไหมค่ะ",1  
สอบ TEDET สองวิชานะคัฟ..น่าจะครึ่งวันใช่ไหมคัฟ,1  
อันนี้เฉพาะเด็กที่สมัครใช่ไม๊คะ สอบที่ประกาศในเพจ,1  
ขอรายละเอียดผังห้องสอบด้วยคะ หาไม่เจอคะ,1  
"สอบถามครับคะแนนสอบ มีผลต่ออะไรด้วยมั้ยครับ หรือ ประเมิน
 เด็กเฉยๆ",1  
"มีป้ายห้ามย้อนศรในลานจอดรถให้หน่อยได้มั้ยคะ 
 ขาดวินัยกันอย่างแรงคะ",2  
ปีการศึกษาที่4เปิดรับหรือยังครับคูรจะพาลูกไปสมัครครับ,4  
น้องเกิดวันที่31กรกฏาคม2561เข้าเกณฑ์มั้ยค่ะยังรับสมัครอยู่มั้ยค่ะ,4  
อยากทราบการรับเด็กประถม 1 ค่ะ ปีการศึกษา 2564 ค่ะ,4  
